ID,item_cnt_month
0,0.34433103
1,0.014450908
2,0.70837545
3,0.041172504
4,0.014450908
5,0.327967
6,0.92548424
7,0.0
8,0.9959021
9,0.014450908
10,2.4936135
11,0.12889262
12,0.0
13,0.24054456
14,1.3528559
15,1.9572647
16,0.014450908
17,0.0
18,1.1497847
19,0.0
20,0.5899317
21,0.014450908
22,0.48507383
23,0.62183523
24,1.2435613
25,0.014450908
26,0.014450908
27,0.34871635
28,0.61813885
29,2.8558617
30,0.26692417
31,0.014450908
32,0.292723
33,0.44658172
34,0.0
35,0.0
36,0.0
37,0.36301106
38,0.11138603
39,0.0
40,0.5188504
41,0.7736778
42,2.7401981
43,3.0844426
44,0.28823367
45,0.014450908
46,0.6746513
47,0.022563636
48,0.09524977
49,0.7466747
50,1.2652028
51,0.12889262
52,0.48655885
53,0.021009356
54,5.0681996
55,1.8966432
56,2.5072393
57,2.1063354
58,3.1563747
59,2.3576927
60,3.5833535
61,0.34650105
62,0.17756346
63,0.19931921
64,0.014450908
65,0.014450908
66,0.56441057
67,0.0
68,0.28823367
69,0.0
70,0.014450908
71,1.6019671
72,0.3361983
73,0.9276038
74,0.014450908
75,0.014450908
76,0.18256134
77,0.014450908
78,0.20381877
79,0.5344761
80,0.7801076
81,3.077762
82,0.686688
83,0.022964835
84,0.7312397
85,0.8986704
86,0.46415237
87,0.0
88,2.8000536
89,1.0374036
90,0.64772755
91,0.28590912
92,2.118168
93,0.041172504
94,0.05221653
95,0.0
96,0.0
97,0.29306713
98,0.49096692
99,1.32688
100,0.53131586
101,0.58397937
102,0.030735373
103,0.28590912
104,0.0
105,0.014450908
106,0.014450908
107,0.48274225
108,0.0
109,0.014450908
110,0.041421413
111,0.014450908
112,0.014450908
113,0.014450908
114,0.084039226
115,0.09010127
116,0.014450908
117,0.0
118,8.007155
119,0.0
120,0.0
121,0.0
122,0.16400433
123,0.39767745
124,0.41041297
125,1.0180695
126,0.014450908
127,0.0
128,0.014450908
129,0.13584602
130,0.28590912
131,0.014450908
132,0.28590912
133,2.7295146
134,0.0
135,0.28590912
136,0.12889262
137,0.014450908
138,0.8393913
139,0.014450908
140,0.056816444
141,0.35158637
142,0.0
143,0.12889262
144,0.014450908
145,0.014450908
146,0.014450908
147,0.0
148,0.014450908
149,0.014450908
150,0.0
151,0.014450908
152,5.547487
153,0.16321948
154,0.014450908
155,0.08835262
156,0.08809665
157,0.0
158,0.04342255
159,0.246238
160,0.014450908
161,0.12889262
162,0.014450908
163,0.33697498
164,0.21768844
165,0.019101053
166,0.443045
167,0.0
168,0.014450908
169,8.696318e-05
170,0.12889262
171,0.4378898
172,0.19042918
173,1.0455239
174,1.2691942
175,2.0707567
176,1.0970798
177,0.014450908
178,0.34460798
179,0.0
180,0.90592587
181,0.23484127
182,0.014450908
183,0.0
184,0.119938314
185,0.014450908
186,0.0
187,0.059259534
188,0.014450908
189,0.014450908
190,0.014450908
191,0.49430072
192,0.5188504
193,0.0
194,0.0
195,0.0
196,0.28590912
197,2.396154
198,0.87577623
199,0.014450908
200,0.014450908
201,0.014450908
202,0.0
203,1.0731807
204,0.0
205,0.014450908
206,0.014450908
207,2.8133392e-05
208,1.0628695
209,0.34178632
210,0.055386692
211,0.0
212,0.0
213,0.28590912
214,0.0
215,0.47302395
216,0.30328608
217,0.09498817
218,1.4824862
219,0.28141725
220,0.26005805
221,0.014450908
222,0.014450908
223,0.6795485
224,2.403186
225,0.23926622
226,0.21351995
227,0.014450908
228,0.08365506
229,0.014450908
230,0.014450908
231,0.29450667
232,0.014450908
233,0.21454239
234,0.014450908
235,0.005302757
236,0.10511914
237,0.24024391
238,0.28590912
239,0.15029213
240,0.68936265
241,0.0
242,0.014450908
243,0.014450908
244,0.014450908
245,0.0703828
246,1.3702872
247,0.35263178
248,0.39266077
249,0.016946584
250,0.6069713
251,0.030710757
252,0.12631187
253,0.89899784
254,0.21665242
255,5.547487
256,0.014450908
257,0.011830956
258,0.33085203
259,0.033768445
260,0.0
261,0.01585114
262,0.07272644
263,0.014450908
264,0.0
265,0.28203166
266,0.014450908
267,0.12889262
268,0.0
269,0.017203331
270,0.97687083
271,0.0
272,0.04382497
273,0.58397937
274,9.893799
275,0.014450908
276,0.28590912
277,1.1259279
278,0.2953761
279,0.046877205
280,0.04906705
281,0.020255357
282,0.0
283,0.58252853
284,0.04906705
285,0.12951204
286,0.014450908
287,0.7705366
288,0.09382334
289,0.28590912
290,0.014450908
291,0.0
292,0.1076106
293,0.0
294,0.7011157
295,0.7450006
296,0.020884275
297,0.0
298,0.014450908
299,0.014450908
300,0.011473358
301,0.33357957
302,0.68703574
303,0.57843816
304,0.0
305,2.8133392e-05
306,0.035091043
307,0.044703305
308,0.103850365
309,0.014450908
310,0.014450908
311,0.29643598
312,0.74933827
313,0.046877205
314,0.014450908
315,0.28590912
316,0.0
317,1.9699745
318,0.0
319,0.005501926
320,0.014450908
321,0.0
322,0.62688726
323,0.0029699802
324,0.35281515
325,0.32105964
326,0.22493571
327,0.014450908
328,0.014450908
329,0.21043816
330,0.014450908
331,0.014450908
332,0.0190548
333,0.07493743
334,0.81539387
335,0.10517727
336,0.0
337,0.60228866
338,0.2513228
339,0.30995163
340,0.0
341,0.07273069
342,0.014450908
343,0.89168936
344,0.0
345,0.0
346,3.3896303
347,2.6875215
348,0.0
349,0.15759586
350,0.014450908
351,0.42028588
352,0.014450908
353,0.0
354,0.014450908
355,0.014450908
356,0.28590912
357,0.7011157
358,0.44833237
359,0.28590912
360,0.041172504
361,2.4352615
362,0.58397937
363,0.81539387
364,0.35813758
365,0.39885306
366,0.014450908
367,0.014450908
368,0.014450908
369,0.02385503
370,0.014450908
371,0.28590912
372,0.58397937
