ID,item_cnt_month
0,0.4647634
1,0.16538456
2,0.8087466
3,0.19538626
4,0.16538456
5,0.5561103
6,0.9522637
7,0.2078604
8,0.9494288
9,0.16538456
10,2.1601334
11,0.22470504
12,0.16586797
13,0.39553827
14,1.3646945
15,2.4794412
16,0.16538456
17,0.18378888
18,1.3733498
19,0.16111939
20,0.7135296
21,0.16538456
22,0.73650765
23,0.7810176
24,1.4633981
25,0.16538456
26,0.16538456
27,0.45072097
28,0.84190315
29,2.8401423
30,0.4267424
31,0.16538456
32,0.39597857
33,0.4635734
34,0.17013712
35,0.1667451
36,0.18258867
37,0.4598026
38,0.23694392
39,0.17717728
40,0.564451
41,0.7486547
42,2.4532893
43,2.3318782
44,0.3351486
45,0.16538456
46,0.70986754
47,0.2528252
48,0.27700585
49,1.0214933
50,1.2596352
51,0.22470504
52,0.7074121
53,0.21845864
54,4.9505777
55,2.6047845
56,1.824723
57,1.8551747
58,4.5539927
59,4.019522
60,3.9941351
61,0.5415585
62,0.34059495
63,0.4230071
64,0.16538456
65,0.16538456
66,0.7428669
67,0.16759473
68,0.3351486
69,0.1780495
70,0.16538456
71,1.6319313
72,0.5378127
73,0.9685899
74,0.16538456
75,0.16538456
76,0.42243615
77,0.16538456
78,0.323874
79,0.53156555
80,0.8254265
81,2.7621934
82,0.7072319
83,0.25370115
84,0.7230293
85,1.1268945
86,0.67411387
87,0.16811547
88,2.6292567
89,1.3503076
90,0.86838305
91,0.41670075
92,1.966768
93,0.19538626
94,0.26617333
95,0.16522595
96,0.16759473
97,0.42546877
98,0.6497192
99,1.5272
100,1.0111147
101,0.69255596
102,0.2629518
103,0.41670075
104,0.17400914
105,0.16538456
106,0.16538456
107,0.78680706
108,0.18443465
109,0.16538456
110,0.24545862
111,0.16538456
112,0.16538456
113,0.16538456
114,0.28057572
115,0.2758419
116,0.16538456
117,0.18597108
118,7.0964246
119,0.19234861
120,0.16360785
121,0.17337678
122,0.4322397
123,0.6099367
124,0.506506
125,1.2434448
126,0.16538456
